truck capacity,trailer capacity,number of customers,max number of trucks,max number of trailers,num type of products,hopper truck capacity,hopper trailer capacity,,,,,,,
19500,30000,8,3,2,4,1500,2000,,,,,,,
customer Number,distance1,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,indicator of truck customer,demands p1,demands p2,demands p3,demands p4
0,0,27,5,11,12,3,9,4,25,0,0,0,0,0
1,27,0,26,18,20,30,35,29,42,0,4000,0,0,1087
2,5,26,0,14,11,8,13,7,29,0,3000,0,0,1981
3,11,18,14,0,4,14,18,9,39,0,1612,0,2000,0
4,12,20,11,4,0,15,20,9,37,0,0,1200,2292,0
5,3,30,8,14,15,0,11,7,28,1,0,8500,1700,0
6,9,35,13,18,20,11,0,12,21,1,0,10091,0,0
7,4,29,7,9,9,7,12,0,28,1,3000,0,0,2100
8,25,42,29,39,37,28,21,28,0,1,589,0,1400,0
