truck capacity,trailer capacity,number of customers,max number of trucks,max number of trailers,num type of products,hopper truck capacity,hopper trailer capacity,,,,,,,,
19500,30000,9,3,2,4,1500,2000,,,,,,,,
customer Number,distance1,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9,indicator of truck customer,demands p1,demands p2,demands p3,demands p4
0,0,24,23,21,55,10,25,7,8,41,0,0,0,0,0
1,24,0,2,6,53,23,39,24,18,50,0,3000,0,0,1523
2,23,2,0,4,51,22,38,22,17,48,0,2000,0,0,1017
3,21,6,4,0,46,17,36,17,16,47,0,1507,0,3000,0
4,55,53,51,46,0,52,77,52,56,81,0,0,1551,3000,0
5,10,23,22,17,52,0,34,10,16,50,0,0,2000,1645,0
6,25,39,38,36,77,34,0,31,32,13,1,0,10055,0,0
7,7,24,22,17,52,10,31,0,13,47,1,1200,0,0,4000
8,8,18,17,16,56,16,32,13,0,48,1,2005,0,9000,0
9,41,50,48,47,81,50,13,47,48,0,1,1001,0,1500,0
